Year,Segment,Domain,Element,Basis,Mass_g_per_vehicle
2021,AB,Sensors,Zr,static-2025,0.25478122802657177
2021,AB,Wiring,Cu,modelled,37038.543732625745
2021,CD,Motors,Ag_ppm,scaled,0.32718716683191174
2021,CD,Motors,Al,scaled,24.136095112193978
2021,CD,Motors,As_ppm,scaled,0.006543766692108644
2021,CD,Motors,B,scaled,26.3338825429956
2021,CD,Motors,Bi_ppm,scaled,0.00457910769917801
2021,CD,Motors,C,scaled,5.748164901302142
2021,CD,Motors,Cd_ppm,scaled,0.0013113506426893971
2021,CD,Motors,Co,scaled,106.96713020293387
2021,CD,Motors,Cu,scaled,3927.0388940148237
2021,CD,Motors,Dy,scaled,98.25571299613254
2021,CD,Motors,Fe,scaled,16663.196891910415
2021,CD,Motors,Fe_ppm,scaled,0.013095718910946933
2021,CD,Motors,Ga,scaled,1.196858723525881
2021,CD,Motors,Mn,scaled,38.231324552769294
2021,CD,Motors,Mn_ppm,scaled,0.0006547207453728334
2021,CD,Motors,Nb,scaled,5.986178981087199
2021,CD,Motors,Nd,scaled,730.1631606681386
2021,CD,Motors,Ni_ppm,scaled,0.01309146838110798
2021,CD,Motors,O_ppm,scaled,0.27162008105442587
2021,CD,Motors,P,scaled,4.559089284059722
2021,CD,Motors,P_ppm,scaled,0.003923598100672285
2021,CD,Motors,Pb_ppm,scaled,0.03928129456778579
2021,CD,Motors,Pr,scaled,11.977559277562925
2021,CD,Motors,S,scaled,2.63446056953338
2021,CD,Motors,S_ppm,scaled,0.019644174775585194
2021,CD,Motors,Sb_ppm,scaled,0.005234276963650125
2021,CD,Motors,Se_ppm,scaled,0.003922997709244653
2021,CD,Motors,Si,scaled,198.81360642219073
2021,CD,Motors,Sn_ppm,scaled,0.002619020026655943
2021,CD,Motors,Tb,scaled,5.597769614010696
2021,CD,Motors,Te_ppm,scaled,0.0026175822023408557
2021,CD,Motors,TotalMass,scaled,21727.3869795853
2021,CD,Motors,Zn_ppm,scaled,0.0013077649653860774
2021,CD,PCB,Ag,modelled,4.675256685069966
2021,CD,PCB,Al,modelled,95.71559481720575
2021,CD,PCB,Au,modelled,1.09744461031839
2021,CD,PCB,Cu,modelled,357.74719467698185
2021,CD,PCB,Fe,modelled,56.821888360719065
2021,CD,PCB,Ni,modelled,16.205166195890964
2021,CD,PCB,Pb,modelled,12.013154637190585
2021,CD,PCB,Pd,modelled,0.5808611031786479
2021,CD,PCB,Sn,modelled,67.93400043831873
2021,CD,PCB,Zn,modelled,4.1491232326198615
2021,CD,Sensors,Ag,static-2025,1.0040422937850013
2021,CD,Sensors,Al,static-2025,25.381163837861383
2021,CD,Sensors,As,static-2025,0.026235906125075287
2021,CD,Sensors,Au,static-2025,0.03360938020700168
2021,CD,Sensors,B,static-2025,0.10164592204704456
2021,CD,Sensors,Ba,static-2025,0.8387827210563901
2021,CD,Sensors,Co,static-2025,1.178163319714313
2021,CD,Sensors,Cr,static-2025,1.2955173016213009
2021,CD,Sensors,Cu,static-2025,98.95624584256456
2021,CD,Sensors,Dy,static-2025,0.07083661258543408
2021,CD,Sensors,Fe,static-2025,132.23534742709208
2021,CD,Sensors,Ga,static-2025,0.02625577518133533
2021,CD,Sensors,Ge,static-2025,0.0026980347746987984
2021,CD,Sensors,In,static-2025,0.13058781019089258
2021,CD,Sensors,Li,static-2025,0.005605205300557956
2021,CD,Sensors,Mn,static-2025,7.677327848828841
2021,CD,Sensors,Nd,static-2025,1.4848633834900868
2021,CD,Sensors,Ni,static-2025,7.979807828474516
2021,CD,Sensors,Pb,static-2025,5.101529133898619
2021,CD,Sensors,Pt,static-2025,0.004062999866960568
2021,CD,Sensors,Si,static-2025,7.165474084828744
2021,CD,Sensors,Sn,static-2025,1.252070944913973
2021,CD,Sensors,Ta,static-2025,0.059477643991652764
2021,CD,Sensors,Ti,static-2025,0.5473329813441806
2021,CD,Sensors,W,static-2025,0.012087559491846431
2021,CD,Sensors,Zn,static-2025,2.768695304709588
2021,CD,Sensors,Zr,static-2025,0.7652399562259045
2021,CD,Wiring,Cu,modelled,61449.30677574783
2021,EF,Motors,Ag_ppm,scaled,0.7228275557616904
2021,EF,Motors,Al,scaled,57.5428265254748
2021,EF,Motors,As_ppm,scaled,0.014452123642755924
2021,EF,Motors,B,scaled,57.96542039229382
2021,EF,Motors,Bi_ppm,scaled,0.01012618893258965
2021,EF,Motors,C,scaled,11.429863362095949
2021,EF,Motors,Cd_ppm,scaled,0.0028902054473519006
2021,EF,Motors,Co,scaled,411.5680733078031
2021,EF,Motors,Cu,scaled,8680.961511230127
2021,EF,Motors,Dy,scaled,367.33625635188565
2021,EF,Motors,Fe,scaled,34839.451419544384
2021,EF,Motors,Fe_ppm,scaled,0.02890673527019648
2021,EF,Motors,Ga,scaled,2.634843532342981
2021,EF,Motors,Mn,scaled,80.2406904459752
2021,EF,Motors,Mn_ppm,scaled,0.0014453895337722354
2021,EF,Motors,Nb,scaled,13.170587641539154
2021,EF,Motors,Nd,scaled,1607.2590960448015
2021,EF,Motors,Ni_ppm,scaled,0.0289538315597675
2021,EF,Motors,O_ppm,scaled,0.6005516102185227
2021,EF,Motors,P,scaled,10.667183560512122
2021,EF,Motors,P_ppm,scaled,0.008678203967364132
2021,EF,Motors,Pb_ppm,scaled,0.08691801231896785
2021,EF,Motors,Pr,scaled,26.342676468610357
2021,EF,Motors,S,scaled,5.614461881825458
2021,EF,Motors,S_ppm,scaled,0.04341473121824097
2021,EF,Motors,Sb_ppm,scaled,0.011558155195472708
2021,EF,Motors,Se_ppm,scaled,0.008676412264892927
2021,EF,Motors,Si,scaled,463.9565875044166
2021,EF,Motors,Sn_ppm,scaled,0.005779418282470844
2021,EF,Motors,Tb,scaled,20.726823856074187
2021,EF,Motors,Te_ppm,scaled,0.005791438993561746
2021,EF,Motors,TotalMass,scaled,46101.03700698144
2021,EF,Motors,Zn_ppm,scaled,0.002892719394010581
2021,EF,PCB,Ag,modelled,5.27430780515342
2021,EF,PCB,Al,modelled,110.76243397801665
2021,EF,PCB,Au,modelled,1.3020852647014052
2021,EF,PCB,Cu,modelled,411.56864605749496
2021,EF,PCB,Fe,modelled,67.68441172869788
2021,EF,PCB,Ni,modelled,19.793698090002447
2021,EF,PCB,Pb,modelled,13.653530209123613
2021,EF,PCB,Pd,modelled,0.6981677259156968
2021,EF,PCB,Sn,modelled,80.95662633526845
2021,EF,PCB,Zn,modelled,4.857315413576714
2021,EF,Sensors,Ag,static-2025,1.369249576879546
2021,EF,Sensors,Al,static-2025,36.731700911020866
2021,EF,Sensors,As,static-2025,0.05561113929625286
2021,EF,Sensors,Au,static-2025,0.04665892216070073
2021,EF,Sensors,B,static-2025,0.17447940428973757
2021,EF,Sensors,Ba,static-2025,1.0964663126283016
2021,EF,Sensors,Co,static-2025,1.4022044867454229
2021,EF,Sensors,Cr,static-2025,1.915665449291962
2021,EF,Sensors,Cu,static-2025,118.03127420741843
2021,EF,Sensors,Dy,static-2025,0.11821409744431796
2021,EF,Sensors,Fe,static-2025,163.43714278526167
2021,EF,Sensors,Ga,static-2025,0.05562085055109532
2021,EF,Sensors,Ge,static-2025,0.004528987007663839
2021,EF,Sensors,In,static-2025,0.17015247696047545
2021,EF,Sensors,Li,static-2025,0.005599810035484773
2021,EF,Sensors,Mn,static-2025,9.309674165908516
2021,EF,Sensors,Nd,static-2025,2.6506784355151085
2021,EF,Sensors,Ni,static-2025,9.623795259359136
2021,EF,Sensors,Pb,static-2025,5.6643796772145105
2021,EF,Sensors,Pt,static-2025,0.005766053334719774
2021,EF,Sensors,Si,static-2025,10.145498927559395
2021,EF,Sensors,Sn,static-2025,1.6474297081739453
2021,EF,Sensors,Ta,static-2025,0.06570280287807932
2021,EF,Sensors,Ti,static-2025,0.6055172644148101
2021,EF,Sensors,W,static-2025,0.017740480479114293
2021,EF,Sensors,Zn,static-2025,3.243831445052524
2021,EF,Sensors,Zr,static-2025,0.8505679861196306
2021,EF,Wiring,Cu,modelled,83257.4585464938
2022,AB,Motors,Ag_ppm,scaled,0.1610922061830394
2022,AB,Motors,Al,scaled,11.15819878909951
2022,AB,Motors,As_ppm,scaled,0.003223352538106335
2022,AB,Motors,B,scaled,12.899064562459023
